,Año,Trimestre,Provincia,Mbps (Media de bajada)
300,2020,4,Mendoza,11.09
301,2020,4,Misiones,24.96
302,2020,4,Neuquén,33.91
303,2020,4,Río Negro,21.64
304,2020,4,Salta,25.32
305,2020,4,San Juan,6.41
306,2020,4,San Luis,21.25
307,2020,4,Santa Cruz,7.49
308,2020,4,Santa Fe,27.29
309,2020,4,Santiago Del Estero,11.28
310,2020,4,Tierra Del Fuego,8.49
311,2020,4,Tucumán,36.44
312,2020,3,Buenos Aires,48.38
313,2020,3,Capital Federal,63.81
314,2020,3,Catamarca,36.54
315,2020,3,Chaco,30.8
316,2020,3,Chubut,7.4
317,2020,3,Córdoba,33.51
318,2020,3,Corrientes,23.85
319,2020,3,Entre Ríos,22.43
320,2020,3,Formosa,18.28
321,2020,3,Jujuy,21.91
322,2020,3,La Pampa,10.7
323,2020,3,La Rioja,12.19
324,2020,3,Mendoza,10.19
325,2020,3,Misiones,24.14
326,2020,3,Neuquén,31.46
327,2020,3,Río Negro,21.08
328,2020,3,Salta,25.26
329,2020,3,San Juan,6.03
330,2020,3,San Luis,20.85
331,2020,3,Santa Cruz,6.65
332,2020,3,Santa Fe,25.69
333,2020,3,Santiago Del Estero,10.88
334,2020,3,Tierra Del Fuego,8.51
335,2020,3,Tucumán,34.84
336,2020,2,Buenos Aires,45.66
337,2020,2,Capital Federal,60.48
338,2020,2,Catamarca,34.93
339,2020,2,Chaco,27.95
340,2020,2,Chubut,7.61
341,2020,2,Córdoba,30.99
342,2020,2,Corrientes,22.15
343,2020,2,Entre Ríos,20.45
344,2020,2,Formosa,16.87
345,2020,2,Jujuy,15.86
346,2020,2,La Pampa,8.03
347,2020,2,La Rioja,11.67
348,2020,2,Mendoza,9.27
349,2020,2,Misiones,22.56
350,2020,2,Neuquén,29.1
351,2020,2,Río Negro,19.68
352,2020,2,Salta,22.56
353,2020,2,San Juan,6.31
354,2020,2,San Luis,21.02
355,2020,2,Santa Cruz,6.59
356,2020,2,Santa Fe,23.93
357,2020,2,Santiago Del Estero,10.41
358,2020,2,Tierra Del Fuego,8.13
359,2020,2,Tucumán,32.7
360,2020,1,Buenos Aires,45.18
361,2020,1,Capital Federal,58.71
362,2020,1,Catamarca,29.13
363,2020,1,Chaco,25.94
364,2020,1,Chubut,7.12
365,2020,1,Córdoba,29.39
366,2020,1,Corrientes,20.54
367,2020,1,Entre Ríos,19.03
368,2020,1,Formosa,15.7
369,2020,1,Jujuy,14.14
370,2020,1,La Pampa,7.29
371,2020,1,La Rioja,7.96
372,2020,1,Mendoza,8.44
373,2020,1,Misiones,22.15
374,2020,1,Neuquén,27.77
375,2020,1,Río Negro,19.06
376,2020,1,Salta,21.43
377,2020,1,San Juan,6.04
378,2020,1,San Luis,20.99
379,2020,1,Santa Cruz,6.42
380,2020,1,Santa Fe,22.42
381,2020,1,Santiago Del Estero,10.0
382,2020,1,Tierra Del Fuego,7.41
383,2020,1,Tucumán,32.25
384,2019,4,Buenos Aires,30.77
385,2019,4,Capital Federal,44.2
386,2019,4,Catamarca,24.88
387,2019,4,Chaco,23.37
388,2019,4,Chubut,6.99
389,2019,4,Córdoba,26.16
390,2019,4,Corrientes,19.26
391,2019,4,Entre Ríos,17.01
392,2019,4,Formosa,14.53
393,2019,4,Jujuy,12.96
394,2019,4,La Pampa,6.53
395,2019,4,La Rioja,8.0
396,2019,4,Mendoza,7.79
397,2019,4,Misiones,20.32
398,2019,4,Neuquén,26.02
399,2019,4,Río Negro,17.18
400,2019,4,Salta,19.08
401,2019,4,San Juan,6.04
402,2019,4,San Luis,20.69
403,2019,4,Santa Cruz,5.21
404,2019,4,Santa Fe,20.55
405,2019,4,Santiago Del Estero,9.79
406,2019,4,Tierra Del Fuego,7.27
407,2019,4,Tucumán,29.87
408,2019,3,Buenos Aires,25.68
409,2019,3,Capital Federal,38.71
410,2019,3,Catamarca,9.29
411,2019,3,Chaco,19.99
412,2019,3,Chubut,6.97
413,2019,3,Córdoba,23.19
414,2019,3,Corrientes,16.7
415,2019,3,Entre Ríos,14.7
416,2019,3,Formosa,13.22
417,2019,3,Jujuy,11.97
418,2019,3,La Pampa,5.72
419,2019,3,La Rioja,8.0
420,2019,3,Mendoza,6.11
421,2019,3,Misiones,17.93
422,2019,3,Neuquén,23.75
423,2019,3,Río Negro,15.98
424,2019,3,Salta,14.75
425,2019,3,San Juan,6.04
426,2019,3,San Luis,19.74
427,2019,3,Santa Cruz,5.02
428,2019,3,Santa Fe,18.17
429,2019,3,Santiago Del Estero,9.39
430,2019,3,Tierra Del Fuego,6.69
431,2019,3,Tucumán,19.32
432,2019,2,Buenos Aires,22.48
433,2019,2,Capital Federal,30.35
434,2019,2,Catamarca,8.81
435,2019,2,Chaco,16.01
436,2019,2,Chubut,6.05
437,2019,2,Córdoba,18.43
438,2019,2,Corrientes,13.83
439,2019,2,Entre Ríos,12.19
440,2019,2,Formosa,10.84
441,2019,2,Jujuy,12.07
442,2019,2,La Pampa,5.49
443,2019,2,La Rioja,7.89
444,2019,2,Mendoza,6.03
445,2019,2,Misiones,14.5
446,2019,2,Neuquén,17.24
447,2019,2,Río Negro,11.63
448,2019,2,Salta,12.55
449,2019,2,San Juan,6.12
450,2019,2,San Luis,19.88
451,2019,2,Santa Cruz,6.01
452,2019,2,Santa Fe,15.07
453,2019,2,Santiago Del Estero,7.1
454,2019,2,Tierra Del Fuego,6.34
455,2019,2,Tucumán,18.53
456,2019,1,Buenos Aires,19.64
457,2019,1,Capital Federal,24.72
458,2019,1,Catamarca,7.96
459,2019,1,Chaco,13.44
460,2019,1,Chubut,5.89
461,2019,1,Córdoba,15.73
462,2019,1,Corrientes,12.05
463,2019,1,Entre Ríos,10.66
464,2019,1,Formosa,9.83
465,2019,1,Jujuy,8.56
466,2019,1,La Pampa,5.06
467,2019,1,La Rioja,7.09
468,2019,1,Mendoza,5.74
469,2019,1,Misiones,12.51
470,2019,1,Neuquén,15.88
471,2019,1,Río Negro,10.49
472,2019,1,Salta,10.38
473,2019,1,San Juan,5.84
474,2019,1,San Luis,8.71
475,2019,1,Santa Cruz,5.78
476,2019,1,Santa Fe,12.99
477,2019,1,Santiago Del Estero,6.42
478,2019,1,Tierra Del Fuego,6.34
479,2019,1,Tucumán,16.57
480,2018,4,Buenos Aires,16.93
481,2018,4,Capital Federal,22.94
482,2018,4,Catamarca,8.04
483,2018,4,Chaco,13.49
484,2018,4,Chubut,6.09
485,2018,4,Córdoba,15.81
486,2018,4,Corrientes,12.14
487,2018,4,Entre Ríos,11.02
488,2018,4,Formosa,9.82
489,2018,4,Jujuy,8.56
490,2018,4,La Pampa,4.32
491,2018,4,La Rioja,7.09
492,2018,4,Mendoza,5.75
493,2018,4,Misiones,12.5
494,2018,4,Neuquén,15.89
